availableScenarioEnergy,configurationSuitability,currentMissionMode,enduranceFeasibility,energyMargin,flightFeasibility,lowBatteryTriggered,missionComplete,missionEnergyTotal,missionTime,remainingScenarioEnergy,returnedEarly,returnEnergyRequired,tier1EnergyIncrement,sentry.thrustMargin,sentry.platform.patrolSpeed,sentry.platform.power.batteryMass,sentry.platform.propulsion.motorSizeFactor,sentry.platform.propulsion.propellerDiameter,sentry.payload.spotlight.spotlightOnLoad,sentry.payload.speaker.speakerOnLoad
3.5280E5,false,MISSION_FAIL,false,-2.2677E5,false,false,false,5.7957E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,35.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-1.6880E5,false,false,false,5.2160E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,15.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-1.7024E5,false,false,false,5.2304E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,15.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-1.7168E5,false,false,false,5.2448E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,15.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-1.7180E5,false,false,false,5.2460E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,25.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-1.7324E5,false,false,false,5.2604E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,25.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-1.7468E5,false,false,false,5.2748E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,25.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-1.7480E5,false,false,false,5.2760E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,35.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-1.7624E5,false,false,false,5.2904E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,35.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-1.7768E5,false,false,false,5.3048E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,5.5000,0.7000,2.5000,0.2500,35.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-1.9435E5,false,false,false,6.4795E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,15.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-1.9579E5,false,false,false,6.4939E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,15.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-1.9723E5,false,false,false,6.5083E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,15.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-1.9735E5,false,false,false,6.5095E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,25.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-1.9879E5,false,false,false,6.5239E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,25.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-2.0023E5,false,false,false,6.5383E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,25.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-2.0035E5,false,false,false,6.5395E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,35.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-2.0179E5,false,false,false,6.5539E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,35.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-2.0323E5,false,false,false,6.5683E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,4.5000,0.9000,2.5000,0.2500,35.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-1.3263E5,false,false,false,5.8623E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,15.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-1.3407E5,false,false,false,5.8767E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,15.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-1.3551E5,false,false,false,5.8911E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,15.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-1.3563E5,false,false,false,5.8923E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,25.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-1.3707E5,false,false,false,5.9067E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,25.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-1.3851E5,false,false,false,5.9211E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,25.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-1.3863E5,false,false,false,5.9223E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,35.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-1.4007E5,false,false,false,5.9367E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,35.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-1.4151E5,false,false,false,5.9511E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,5.0000,0.9000,2.5000,0.2500,35.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-82121.5091,false,false,false,5.3572E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,15.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-83561.5091,false,false,false,5.3716E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,15.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-85001.5091,false,false,false,5.3860E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,15.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-85121.5091,false,false,false,5.3872E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,25.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-86561.5091,false,false,false,5.4016E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,25.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-88001.5091,false,false,false,5.4160E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,25.0000,26.0000
4.5360E5,false,MISSION_FAIL,false,-88121.5091,false,false,false,5.4172E5,0.0000,4.5360E5,true,0.0000,1800.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,35.0000,10.0000
4.5360E5,false,MISSION_FAIL,false,-89561.5091,false,false,false,5.4316E5,0.0000,4.5360E5,true,0.0000,3240.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,35.0000,18.0000
4.5360E5,false,MISSION_FAIL,false,-91001.5091,false,false,false,5.4460E5,0.0000,4.5360E5,true,0.0000,4680.0000,-9.1605,5.5000,0.9000,2.5000,0.2500,35.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-1.1082E5,false,false,false,6.6522E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,15.0000,10.0000
5.5440E5,false,MISSION_FAIL,false,-1.1226E5,false,false,false,6.6666E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,15.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-1.1370E5,false,false,false,6.6810E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,15.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-1.1382E5,false,false,false,6.6822E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,25.0000,10.0000
5.5440E5,false,MISSION_FAIL,false,-1.1526E5,false,false,false,6.6966E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,25.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-1.1670E5,false,false,false,6.7110E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,25.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-1.1682E5,false,false,false,6.7122E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,35.0000,10.0000
5.5440E5,false,MISSION_FAIL,false,-1.1826E5,false,false,false,6.7266E5,0.0000,5.5440E5,true,0.0000,3240.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,35.0000,18.0000
5.5440E5,false,MISSION_FAIL,false,-1.1970E5,false,false,false,6.7410E5,0.0000,5.5440E5,true,0.0000,4680.0000,-11.1225,4.5000,1.1000,2.5000,0.2500,35.0000,26.0000
5.5440E5,false,MISSION_FAIL,false,-47365.2000,false,false,false,6.0177E5,0.0000,5.5440E5,true,0.0000,1800.0000,-11.1225,5.0000,1.1000,2.5000,0.2500,15.0000,10.0000
